index_code,con_code,trade_date,weight
399300.SZ,603501.SH,20200123,0.238
399300.SZ,600340.SH,20200123,0.236
399300.SZ,601377.SH,20200123,0.236
399300.SZ,601669.SH,20200123,0.231
399300.SZ,601155.SH,20200123,0.228
399300.SZ,603799.SH,20200123,0.227
399300.SZ,300124.SZ,20200123,0.226
399300.SZ,002007.SZ,20200123,0.225
399300.SZ,002001.SZ,20200123,0.225
399300.SZ,002736.SZ,20200123,0.224
399300.SZ,601985.SH,20200123,0.224
399300.SZ,002602.SZ,20200123,0.224
399300.SZ,600383.SH,20200123,0.221
399300.SZ,000895.SZ,20200123,0.216
399300.SZ,603993.SH,20200123,0.216
399300.SZ,000069.SZ,20200123,0.215
399300.SZ,601933.SH,20200123,0.215
399300.SZ,601877.SH,20200123,0.213
399300.SZ,002050.SZ,20200123,0.213
399300.SZ,300122.SZ,20200123,0.212
399300.SZ,600010.SH,20200123,0.211
399300.SZ,600183.SH,20200123,0.205
399300.SZ,600886.SH,20200123,0.205
399300.SZ,600029.SH,20200123,0.205
399300.SZ,002466.SZ,20200123,0.204
399300.SZ,601108.SH,20200123,0.202
399300.SZ,002410.SZ,20200123,0.201
399300.SZ,000938.SZ,20200123,0.2
399300.SZ,002311.SZ,20200123,0.2
399300.SZ,000783.SZ,20200123,0.198
399300.SZ,300433.SZ,20200123,0.196
399300.SZ,600196.SH,20200123,0.195
399300.SZ,600438.SH,20200123,0.195
399300.SZ,603019.SH,20200123,0.195
399300.SZ,600795.SH,20200123,0.194
399300.SZ,600271.SH,20200123,0.19
399300.SZ,601111.SH,20200123,0.183
399300.SZ,002624.SZ,20200123,0.182
399300.SZ,300413.SZ,20200123,0.182
399300.SZ,000425.SZ,20200123,0.181
399300.SZ,600705.SH,20200123,0.181
399300.SZ,600177.SH,20200123,0.18
399300.SZ,300408.SZ,20200123,0.18
399300.SZ,002271.SZ,20200123,0.18
399300.SZ,601788.SH,20200123,0.18
399300.SZ,600018.SH,20200123,0.179
399300.SZ,600809.SH,20200123,0.178
399300.SZ,600011.SH,20200123,0.177
399300.SZ,600606.SH,20200123,0.176
399300.SZ,600089.SH,20200123,0.175
399300.SZ,600061.SH,20200123,0.175
399300.SZ,300144.SZ,20200123,0.174
399300.SZ,300033.SZ,20200123,0.174
399300.SZ,000768.SZ,20200123,0.171
399300.SZ,600115.SH,20200123,0.17
399300.SZ,601997.SH,20200123,0.169
399300.SZ,600111.SH,20200123,0.164
399300.SZ,600487.SH,20200123,0.164
399300.SZ,601555.SH,20200123,0.163
399300.SZ,600637.SH,20200123,0.162
399300.SZ,601607.SH,20200123,0.162
399300.SZ,000786.SZ,20200123,0.161
399300.SZ,002493.SZ,20200123,0.161
399300.SZ,601600.SH,20200123,0.16
399300.SZ,002422.SZ,20200123,0.16
399300.SZ,600109.SH,20200123,0.158
399300.SZ,600332.SH,20200123,0.157
399300.SZ,600176.SH,20200123,0.156
399300.SZ,600066.SH,20200123,0.155
399300.SZ,600100.SH,20200123,0.155
399300.SZ,600522.SH,20200123,0.15
399300.SZ,002179.SZ,20200123,0.148
399300.SZ,002120.SZ,20200123,0.147
399300.SZ,601800.SH,20200123,0.146
399300.SZ,600893.SH,20200123,0.144
399300.SZ,000625.SZ,20200123,0.143
399300.SZ,600221.SH,20200123,0.143
399300.SZ,601618.SH,20200123,0.142
399300.SZ,600926.SH,20200123,0.14
399300.SZ,603899.SH,20200123,0.137
399300.SZ,600516.SH,20200123,0.136
399300.SZ,601919.SH,20200123,0.136
399300.SZ,000963.SZ,20200123,0.135
399300.SZ,600498.SH,20200123,0.135
399300.SZ,002916.SZ,20200123,0.134
399300.SZ,601998.SH,20200123,0.132
399300.SZ,601727.SH,20200123,0.131
399300.SZ,000728.SZ,20200123,0.13
399300.SZ,600068.SH,20200123,0.129
399300.SZ,600118.SH,20200123,0.129
399300.SZ,000961.SZ,20200123,0.128
399300.SZ,600867.SH,20200123,0.128
399300.SZ,601117.SH,20200123,0.128
399300.SZ,601198.SH,20200123,0.125
399300.SZ,300024.SZ,20200123,0.123
399300.SZ,000596.SZ,20200123,0.122
399300.SZ,002601.SZ,20200123,0.122
399300.SZ,300070.SZ,20200123,0.121
399300.SZ,002673.SZ,20200123,0.12
399300.SZ,600219.SH,20200123,0.119
399300.SZ,600674.SH,20200123,0.119
399300.SZ,600583.SH,20200123,0.118
